西瓜,冬瓜
婚礼,葬礼
老师,教授
眉毛,胡子
老鼠,仓鼠
笔记本,记事本
油条,麻花
手表,闹钟
餐厅,饭馆
篮球,排球
牙膏,牙刷
公交车,地铁
苹果,梨子
电影院,剧院
钢笔,铅笔
眼镜,隐形眼镜
电脑,平板
面包,蛋糕
医生,护士
警察,保安
电视,显示器
手机,座机
咖啡,奶茶
沙发,椅子
跑步,散步
手机,电脑
火锅,烧烤
耳机,音箱
足球,篮球
电梯,楼梯
红茶,绿茶
牛奶,酸奶
矿泉水,纯净水
汉堡,披萨
面条,米饭
酱油,醋
糖,盐
柠檬,橙子
葡萄,樱桃
柚子,橘子
桃子,李子
西红柿,茄子
南瓜,苦瓜
菜花,西兰花
芹菜,香菜
花生,核桃
杏仁,腰果
白菜,生菜
黄瓜,丝瓜
草莓,蓝莓
豆腐,豆皮
海带,紫菜
羊肉,牛肉
鸡肉,鸭肉
虾,蟹
鲤鱼,鲫鱼
螃蟹,龙虾
香肠,腊肉
火腿,午餐肉
酸菜,泡菜
蜂蜜,果酱
糖果,巧克力
饼干,薯片
蛋挞,布丁
冰淇淋,雪糕
豆浆,豆奶
白酒,红酒
啤酒,饮料
汽水,果汁
冰水,热水
空调,电风扇
暖气,取暖器
电灯,台灯
洗衣机,烘干机
电饭煲,电磁炉
微波炉,烤箱
电吹风,卷发棒
剃须刀,理发器
插座,插排
遥控器,游戏手柄
手机壳,贴膜
电池,充电宝
键盘,鼠标
摄像头,麦克风
扫地机,吸尘器
电动车,自行车
摩托车,汽车
出租车,网约车
高铁,火车
渡船,游轮
书包,手提包
钱包,卡包
鞋子,袜子
帽子,围巾
手套,袖套
皮带,领带
衬衫,T恤
裙子,裤子
毛衣,外套
风衣,羽绒服
雨伞,雨衣
日历,时钟
相册,画册
笔袋,笔筒
订书机,打孔器
剪刀,美工刀
胶水,胶带
彩笔,蜡笔
文件夹,文件袋
印章,印泥
报纸,杂志
小说,散文
诗歌,剧本
教科书,习题册
地图,导航仪
台球,乒乓球
羽毛球,网球
滑板,轮滑
瑜伽,普拉提
健身,舞蹈
钓鱼,游泳
登山,露营
攀岩,冲浪
冲浪,滑雪
跳绳,呼啦圈
乒乓球拍,羽毛球拍
棒球,垒球
高尔夫,保龄球
拳击,摔跤
射箭,射击
书店,图书馆
超市,便利店
药店,诊所
医院,急诊
理发店,美甲店
幼儿园,托儿所
小学,中学
大学,研究院
博物馆,美术馆
音乐厅,歌剧院
公园,广场
游乐园,动物园
花园,菜园
草坪,花坛
沙滩,海岸
瀑布,湖泊
森林,沙漠
高山,平原
峡谷,洞穴
岛屿,半岛
火山,冰川
星星,月亮
太阳,彩虹
乌云,晴空
雨雪,雾霾
雷电,暴风
春天,夏天
秋天,冬天
早晨,黄昏
白天,夜晚
妈妈,爸爸
哥哥,弟弟
姐姐,妹妹
爷爷,奶奶
外公,外婆
叔叔,舅舅
阿姨,姑姑
同事,同学
朋友,邻居
同伴,队友
老板,下属
主人,客人
学生,学者
作家,画家
歌手,舞者
演员,导演
科学家,工程师
律师,法官
翻译,编辑
摄影师,设计师
司机,乘客
导游,游客
记者,主持人
售货员,顾客
店长,员工
保洁,维修
保姆,月嫂
厨师,服务员
守门员,前锋
裁判,教练
作业,考试
讲义,笔记
论文,报告
课件,讲稿
课程,讲座
实验,演示
比赛,竞赛
决赛,预赛
颁奖,领奖
招聘,应聘
入学,毕业
升职,调岗
请假,辞职
投票,选举
投资,理财
存款,贷款
支票,汇票
股份,期货
利息,税收
收入,支出
合同,协议
文件,资料
章程,条例
证书,证件
护照,签证
卡片,票据
户口,房产
房租,物业
装修,搬家
保险,理赔
网络,局域网
网站,应用
短信,邮件
下载,上传
登陆,注册
搜索,分享
浏览,收藏
评论,点赞
关注,粉丝
转账,支付
